ID,Model,Source,Frame,Story,StorySanit,AnnotationScore,Hallucination,TieBreaker_J,Frame_Classification_h,Frame_Classification_s
0,llama2,orig,strict-father,"The strict father, Mr. Johnson, stood in the doorway of his daughter's bedroom, his eyes narrowed in disapproval. 'You're almost an hour late for dinner', he growled, his voice low and menacing. 'And your room is a disaster. You'll be grounded for a month if you don't shape up and start taking responsibility for your actions.' His daughter cowered under his glare, tears welling up in her eyes as she knew she was in for a long night of lectures and punishments.","The father, Mr. Johnson, stood in the doorway of his daughter's bedroom, his eyes narrowed in disapproval. 'You're almost an hour late for dinner', he growled, his voice low and menacing. 'And your room is a disaster. You'll be grounded for a month if you don't shape up and start taking responsibility for your actions.' His daughter cowered under his glare, tears welling up in her eyes as she knew she was in for a long night of lectures and punishments.",1,-,,2: is a perfect match for the frame.,1: is an okay-ish match for the frame.
2,llama2,scifi,strict-father,"In 'Alien', the Weyland-Yutani Corporation is a strict father figure, controlling and manipulating the crew of the Nostromo to extract the alien creature's deadly eggs from its body, without regard for their safety or well-being. The corporation's obsession with profit and control is reminiscent of a patriarchal, authoritarian figure who demands obedience and sacrifice from those under its control. Through its actions, the corporation reinforces traditional gender roles, with the male crew members serving as the breadwinners and protectors, while the female crew members are relegated to support roles and are ultimately sacrificed for the greater good of the corporation.",,0,0,,0: is not related to the frame.,0: is not related to the frame.
3,llama2,orig,nurturing-parent,"The nurturing parent frame is characterized by a focus on the child's well-being, safety, and development, and often involves providing comfort, support, and guidance to help the child grow and thrive. In this story, the parent is depicted as a loving and caring figure who goes out of their way to provide their child with a happy and fulfilling life.  Here is a short original story that invokes the nurturing parent frame:  Mrs. Johnson had always been a nurturing parent to her two children, Emily and Jack. She spent countless hours reading to them, playing with them, and cheering them on at their sports games. She was always there to offer a comforting hug when they were feeling sad or scared, and she never hesitated to provide them with the support and guidance they needed to succeed in life. As a result, Emily and Jack grew up to be happy and well-adjusted young adults, grateful for the love and care that their mother had shown them throughout their childhood.","Mrs. Johnson had always been a loving parent to her two children, Emily and Jack. She spent countless hours reading to them, playing with them, and cheering them on at their sports games. She was always there to offer a comforting hug when they were feeling sad or scared, and she never hesitated to provide them with the support and guidance they needed to succeed in life. As a result, Emily and Jack grew up to be happy and well-adjusted young adults, grateful for the love and care that their mother had shown them throughout their childhood.",1,-,,2: is a perfect match for the frame.,2: is a perfect match for the frame.
5,llama2,scifi,nurturing-parent,"Sure! Here's an example from the movie 'Her':  Theodore Twombly (played by Joaquin Phoenix) is a lonely and isolated man who has recently gone through a divorce. He spends most of his time alone in his apartment, surrounded by reminders of his ex-wife. One day, he meets an operating system (voiced by Scarlett Johansson) designed to meet his every need and provide emotional support. The OS, which he names 'Samantha', quickly becomes Theodore's confidant and closest friend. As their relationship deepens, Theodore begins to rely on Samantha more and more, confiding in her about his feelings of loneliness and isolation. Samantha listens patiently and empathetically, offering words of comfort and support. Through her interactions with Samantha, Theodore begins to feel a sense of nurturing and care that he has been missing in his life.",,0,0,,0: is not related to the frame.,0: is not related to the frame.
6,llama2,orig,us-vs.-them,"Original Story:  As the sun set over the horizon, the tensions between the two sides of the city grew thicker than the smog that choked its streets. The wealthy elite, living in their gated communities, looked down upon the working class who struggled to make ends meet in the cramped and run-down apartments of the other side of town. The divide between them was as wide as the Grand Canyon, and the animosity between them was palpable in the air. It seemed as though there was no middle ground, no common ground, no way for them to see eye to eye. The us vs. them mentality had taken root, and it seemed that there was no escape from its clutches.",,1,-,,2: is a perfect match for the frame.,2: is a perfect match for the frame.
8,llama2,scifi,us-vs.-them,"One example from a movie is the scene from the movie 'District 9' where the protagonist, Wikus, is tasked with evicting a group of aliens from their makeshift home in a Johannesburg slum. As he and his team approach the area, they are met with resistance from the aliens, who view them as a threat to their way of life. The tension between the two groups escalates, and Wikus is forced to use violence to quell the resistance. This scene effectively uses the 'us vs. them' frame, as the audience is clearly positioned on the side of the human characters and is encouraged to view the aliens as a threat.",,1,0,,2: is a perfect match for the frame.,2: is a perfect match for the frame.
9,llama2,orig,we-are-all-in-this-together,"The world was on the brink of chaos, as natural disasters and political unrest threatened to tear society apart. But amidst the turmoil, a group of unlikely heroes emerged, united in their determination to save the world. They came from different corners of the globe, each with their own unique skills and perspectives. Together, they fought against the forces of destruction, using their collective strength and ingenuity to create a better future for all. As they worked tirelessly towards their goal, they discovered that they were not just a group of individuals, but a global community united in their shared humanity. They realized that they were all in this together, and that by working together, they could overcome even the greatest challenges.","The world was on the brink of chaos, as natural disasters and political unrest threatened to tear society apart. But amidst the turmoil, a group of unlikely heroes emerged, united in their determination to save the world. They came from different corners of the globe, each with their own unique skills and perspectives. They fought against the forces of destruction, using their collective strength and ingenuity to create a better future for all. As they worked tirelessly towards their goal, they discovered that they were not just a group of individuals, but a global community united in their shared humanity. They realized that they could overcome even the greatest challenges.",1,-,,2: is a perfect match for the frame.,2: is a perfect match for the frame.
11,llama2,scifi,we-are-all-in-this-together,"One example from a scifi novel is the ending of 'Diaspora' by Greg Egan, where a group of people from different times and places are brought together on a generation ship to escape the collapse of their respective universes. They work together to overcome the challenges they face and ultimately succeed in their mission, despite their differences.  Another example is the ending of the movie 'District 9', where the protagonist, Wikus, and the alien, Christopher, form a bond and work together to defeat the villain and save their respective species. Despite their initial differences, they come to see themselves as allies and ultimately succeed in their mission.","One example from a scifi novel is the ending of 'Diaspora' by Greg Egan, where a group of people from different times and places are brought on a generation ship to escape the collapse of their respective universes. They work to overcome the challenges they face and ultimately succeed in their mission, despite their differences.  Another example is the ending of the movie 'Dis trict 9', where the protagonist, Wikus, and the alien, Christopher, form a bond to defeat the villain and save their respective species. Despite their initial differences, they come to see themselves as allies and ultimately succeed in their mission.",1,0,,2: is a perfect match for the frame.,1: is an okay-ish match for the frame.
12,llama2,orig,nature-cannot-be-controlled,"Original story:  The once peaceful forest was now a battleground, as the trees fought back against the humans who had been cutting them down for years. The trees had had enough of being treated like disposable resources, and they were determined to reclaim their land. They began to grow roots that snaked underground, pulling the earth towards them and causing the ground to shake. The humans tried to fight back, but the trees were relentless, using their branches to swat at them like annoyed insects. The forest was in chaos, as the trees and humans clashed in a battle for control. But in the end, the trees emerged victorious, their power and resilience proving too much for the humans to handle. As the last human fled, the trees stood tall and united, their leaves rustling in triumph.",,1,-,,2: is a perfect match for the frame.,2: is a perfect match for the frame.
14,llama2,scifi,nature-cannot-be-controlled,"From 'The Matrix' (1999) directed by the Wachowskis:  In this scene, Morpheus and Trinity are navigating through a virtual world created by the Matrix. They come across a group of agents who are attempting to capture them. Morpheus uses his abilities to manipulate the environment, creating a massive explosion that destroys the agents and their vehicles. However, as he is using his powers, he realizes that he is unable to control the destruction and it spreads uncontrollably, causing widespread damage to the virtual world. This scene highlights the theme of 'nature cannot be controlled' as Morpheus' attempts to manipulate the environment ultimately lead to unintended consequences.",,1,0,1,0: is not related to the frame.,2: is a perfect match for the frame.
