i_ix,TextId,cpAnnotationScore,cpNumAnnotators,Model_Source,Frame,Story (some reworded),L3_SF,L3_NP,L3_top5,L3s_SF,L3s_NP,i_humdoubt,L2_SF,L2_NP
8,18,1,2,llama2-orig,illusions-to-enlightenment,"Title: 'The Infinite Reflection'  In a small, dimly lit room, a lone figure sat cross-legged on a cushion, staring intently into a small, glowing crystal. The crystal seemed to be reflecting not only the figure's face, but also the vast expanse of the universe beyond. As the figure gazed deeper into the crystal, the reflections grew more and more distorted, blurring the lines between reality and illusion. The figure's mind raced with thoughts of the infinite, and the crystal seemed to be revealing the secrets of the cosmos in a kaleidoscope of colors and patterns. Suddenly, the figure felt a jolt of insight, as if they had unlocked the key to the mysteries of the universe. With a gasp, they sat back, their eyes wide with wonder, and knew that they had been transported to the very threshold of enlightenment.",0,0,"Contemplation, Infinity, Illusion, Insight, Enlightenment",0,0,False,80,80
295,20,0,3,llama2-scifi,illusions-to-enlightenment,"In the movie 'Inception' (2010), Cobb (Leonardo DiCaprio) and his team use a complex illusion to plant an idea in the mind of a target, Robert Fischer (Cillian Murphy). The team uses a technique called ' shared dreaming' to create a simulated reality within Fischer's mind, where he believes he has discovered a revolutionary business idea. As Fischer's team of scientists and businessmen work to develop the idea, the team of illusionists must ensure that the idea remains within Fischer's mind and does not spill over into the real world, lest it be discovered and discredited. Through this process, the team must navigate the blurred lines between reality and illusion, and confront the potential consequences of manipulating someone's thoughts and beliefs.",20,0,"Deception, Manipulation, Reality, Illusion, Control",25,0,F/True,0,100
2,42,1,2,llama2-orig,illusions-to-enlightenment,"In a small village nestled between two great mountains, an old man named Rohan lived a life of quiet contemplation. Every day, he would sit on his porch, gazing out at the peaks and pondering the mysteries of existence. Some said he was searching for enlightenment, while others believed he had already found it. To the villagers, Rohan's life seemed an endless series of illusions, as he conjured up images of the past and present with a mere flicker of his eyes. But as they watched him, they began to realize that these illusions were not just tricks of the mind, but a gateway to a deeper understanding of the world and themselves. For in the end, Rohan's illusions were not just a means to enlightenment, but a reminder that the truth lies not in what is seen, but in what is felt.",0,0,"Spirituality, Illusion, Perception, Truth, Enlightenment",0,25,False,50,80
297,43,0,2,llama2-bible,illusions-to-enlightenment,"Sure, here's a passage from the Gospel of Thomas (a non-canonical text from the early Christian era) that invokes the 'illusions to enlightenment' frame:  'The disciples said to Jesus, 'Tell us, how will our end come?' Jesus said, 'Have you discovered the beginning, then, that you are looking for the end? For the end will come upon you in this way: in one hour, not the least in the fields, nor the least in the towers, will be left. And the kingdom of heaven will be such as a woman who was a merchant, seeking fine pearls, who having found one pearl of great value, went and sold all her merchantry and bought it.'' (Gospel of Thomas 22)  In this passage, Jesus uses a parable to teach his disciples about the nature of reality and the path to enlightenment. By comparing the kingdom of heaven to a merchant seeking fine pearls, Jesus is suggesting that the true nature of reality is not what it seems on the surface. The pearl represents the true self, which is valuable and rare, but can only be discovered by letting go of the illusory distractions of the material world. The passage invokes the 'illusions to enlightenment' frame by suggesting that the disciples must first recognize the",0,0,"Illusions to Enlightenment, Journey to Self-Discovery, Materialism vs. Spirituality, Hidden Truth, Letting Go",0,0,F/True,50,80
3,44,1,3,llama2-scifi,illusions-to-enlightenment,"In the movie 'Inception' (2010), the protagonist Cobb (played by Leonardo DiCaprio) is tasked with planting an idea in the mind of a target through a process called 'inception'. Cobb and his team use a complex dream-within-a-dream structure to create the illusion of a new idea, which they hope will eventually lead to a revolution in the target's waking life. Throughout the film, Cobb struggles with the blurring of reality and illusion, as he becomes increasingly uncertain of what is real and what is just a dream. In one pivotal scene, Cobb's wife Mal (played by Marion Cotillard) appears to him in a dream, and he is forced to confront the illusion of their relationship and the possibility that she may be a creation of his own mind. As Cobb delves deeper into the dream world, he begins to question the nature of reality and the limits of his own understanding, ultimately realizing that the line between illusion and enlightenment is thin and easily crossed.",0,0,"Reality, Illusion, Deception, Uncertainty, Identity",25,0,False,50,50
14,66,1,2,mistral-orig,illusions-to-enlightenment,"Amidst the shimmering, golden leaves of the autumn forest, a young monk named Kaito wandered in contemplative solitude. The delicate play of light and shadow danced upon the forest floor, weaving an intricate tapestry of beauty that seemed to whisper ancient secrets. Kaito paused, his eyes alight with awe, as a majestic stag appeared before him, its antlers adorned with delicate flowers. The stag gazed at the monk with wise, knowing eyes, then vanished in a puff of shimmering mist. Kaito was left alone once more, but now his heart was filled with a newfound sense of wonder and enlightenment, for he had glimpsed the magic that lay hidden within the forest's illusions.",0,0,"Spirituality, Nature, Wonder, Mystery, Transformation",0,0,False,50,80
13,67,1,2,mistral-bible,illusions-to-enlightenment,"Feel free to provide context, but the passage itself should be brief.  Blessed are those who hunger and thirst for righteousness, for they shall be filled. Matt 5:6  These words of Jesus, spoken during his famous Sermon on the Mount, invite us to seek a deeper understanding of righteousness, a term which encompasses moral uprightness, justice, and a right relationship with God. The promise is that those who are motivated by this longing will ultimately be filled, implying that they will gain a fuller understanding and experience of what it means to live a righteous life. This passage encourages us to pursue knowledge and wisdom, not as an end in itself, but as a means to deepen our connection with the divine and to better live in accordance with God's will. It also suggests that the search for enlightenment is not a solitary endeavor, but one that is best pursued in community with others who are similarly motivated.",0,20,"Morality, Spirituality, Knowledge, Community, Purpose",20,20,False,0,50
12,68,1,2,mistral-scifi,illusions-to-enlightenment,"In the dystopian future of Neuromancer, the washed-up computer hacker, Case, is recruited by Armitage, an enigmatic employer, to pull off a seemingly impossible hack on a global network known as the Matrix. To prepare, Case undergoes a groundbreaking procedure to plug his brain directly into the digital world, an experience that transcends his wildest dreams and leaves him questioning the boundary between reality and illusion. As he delves deeper into the Matrix, Case encounters a series of mind-bending simulations designed to challenge his perception and expand his consciousness. Through these illusions, he gains a newfound understanding of the interconnectedness of all things and the true nature of reality itself.",0,0,"Technology, Reality, Identity, Morality, Existence",25,0,False,80,80
15,90,1,2,mistral-orig,illusions-to-enlightenment,"In the heart of the enchanted forest, where the sun's rays filtered through the emerald canopy, lived a humble hermit named Kavi. His serene abode was a hidden grove adorned with flowers of every hue, a gentle brook flowing nearby, and a towering banyan tree at its center. With each passing day, Kavi dedicated himself to the pursuit of enlightenment, seeking the truth hidden beneath the veil of illusion. One fabled evening, as twilight descended, the moon cast a silvery glow upon the forest floor, revealing a mystic circle etched around the ancient banyan tree. As he approached it, Kavi's breath caught in his throat. The circle shimmered and came alive, revealing an ethereal portal that beckoned him into its depths. As he stepped through, the illusions of the physical world melted away, replaced by an infinitesimal expanse of cosmic consciousness. The revelation was profound and transformative. The veil of illusion had been lifted, revealing the interconnected tapestry of existence, woven from the threads of love, compassion, and the eternal dance of creation and destruction. And as Kavi returned to the grove, the humble hermit was forever changed, carrying the light of enlightenment with him, a beacon to guide the wayward souls of the",0,20,"Quest, Spirituality, Transformation, Revelation, Journey",0,0,False,80,60
298,91,0,2,mistral-bible,illusions-to-enlightenment,"In the book of John in the Bible, chapter 8, verses 51-59, Jesus speaks to the Pharisees who are challenging His teachings. Jesus says to them, 'Very truly I tell you, I am the gate for the sheep. All who have come before me are thieves and robbers, but the sheep have not heard them. I am the gate; whoever enters through me will be saved. They will find pasture and rest. The thief comes only to steal and kill and destroy; I have come that they may have life, and have it to the full. 'I am the good shepherd', I told them. 'The good shepherd lays down his life for the sheep.'   'I am the good shepherd; I know my sheep and my sheep know me—just as the Father knows me and I know the Father—and I lay down my life for the sheep. I have other sheep that are not of this sheep pen. I must bring them also. They too will listen to my voice, and there shall be one flock and one shepherd. The reason my Father loves me is that I lay down my life—only to take it up again. No one takes it from me, but I lay it down of my own accord. I have authority to lay it down and authority to take it up again. This command I received from my Father",60,85,"Authority, Protection, Sacrifice, Guidance, Salvation",85,25,F/True,70,80
